type_acces,distance_rn,batissable,distance_jirama,type_papier,commune,prix_m2
acces voiture,5078.273150632502,1,677.0812294064026,titre et borne,Ambohidratrimo,346322.24
acces voiture,6552.97706140737,0,235.9019365205177,cadastre,Analakely,169571.84
acces voiture,2822.768560539603,1,1338.879252474769,cadastre,Ilafy,251932.47
acces moto,5560.300293431235,1,2650.019935394516,titre et borne,Tanjombato,288883.98
acces voiture,2733.851202940032,1,145.97366859658166,titre et borne,Ivato,353633.86
acces moto,3165.446591024155,1,1019.3755653382065,fifanolorana,Ilafy,131019.62
acces voiture,780.0167094553335,1,2129.776444332343,cadastre,Ambohidratrimo,234050.35
acces voiture,2230.300261667287,1,936.286887003428,titre et borne,Tanjombato,351385.82
acces moto,944.9461831509988,1,1361.897436999787,titre et borne,Alasora,285276.66
acces voiture,2072.380241068002,1,150.0851774824962,titre et borne,Analakely,371408.38
acces voiture,8160.925389823518,1,1342.6456777661188,titre et borne,Ivato,326083.13
sans acces,12897.146194512174,0,1788.5839965438904,titre et borne,Tanjombato,126465.52
sans acces,6479.953702642668,1,1949.9088412518008,cadastre,Tanjombato,150853.34
sans acces,5554.508371084622,0,3071.650913614891,titre et borne,Ilafy,146878.52
sans acces,2424.926659456359,1,1463.7065385708606,fifanolorana,Tanjombato,65085.83
acces voiture,7100.929638226974,1,1260.6370532657331,fifanolorana,Ivato,211695.95
sans acces,3273.0865212866784,1,1155.5074412618687,titre et borne,Alasora,263283.35
acces moto,5366.029443936084,1,717.4669657514494,cadastre,Ivato,215341.46
sans acces,4711.820300826051,1,763.6788718887765,fifanolorana,Ambohidratrimo,118161.84
acces voiture,8447.819978857027,1,1134.7687810156915,titre et borne,Analakely,329492.22
acces moto,2890.470724622338,1,2054.078028486368,cadastre,Analakely,181072.43
sans acces,4895.034528509115,1,194.76594777628716,cadastre,Ambohidratrimo,159179.39
acces voiture,10312.401906906529,1,1911.902848903236,titre et borne,Tanjombato,298687.19
acces voiture,3119.0988266366976,1,2053.6920538718923,titre et borne,Ivato,350375.8
acces voiture,10437.345673990783,1,905.545178407137,cadastre,Ambohidratrimo,179356.03
acces voiture,7123.255806366426,1,697.4839192068757,cadastre,Analakely,238052.87
acces voiture,3312.599672317197,1,513.742410324454,titre et borne,Ambohidratrimo,378469.72
acces moto,6897.223217166563,1,2037.5956372488877,cadastre,Tanjombato,166552.56
sans acces,7917.663348880189,1,981.7055501608944,titre et borne,Ambohidratrimo,256506.87
acces voiture,6865.429886651589,1,200.5582141640714,cadastre,Ivato,239711.09
acces voiture,289.3258403286309,1,596.180063017426,titre et borne,Alasora,387631.33
acces voiture,2818.588472525394,1,1672.4960212036424,fifanolorana,Tanjombato,186008.05
acces moto,4257.444093345486,1,1437.3868545611035,titre et borne,Analakely,298768.26
acces moto,4776.699712699861,1,808.8543206642446,titre et borne,Ivato,291516.88
acces voiture,6862.016292652034,1,706.5404705482499,titre et borne,Ambohidratrimo,335328.26
acces moto,5533.103002799761,1,686.5934807649426,titre et borne,Ambohidratrimo,246860.32
acces voiture,993.966923869696,1,262.071852401198,cadastre,Alasora,268593.8
acces voiture,6140.5935530178895,1,2292.300551575553,titre et borne,Analakely,329575.82
acces moto,6831.75723585147,1,742.1436246309281,fifanolorana,Analakely,140850.42
acces voiture,6679.371343793119,1,1973.7268166603967,titre et borne,Ilafy,350280.12
acces voiture,8242.342176663866,1,2217.0528415379613,titre et borne,Analakely,347143.25
sans acces,7501.766463646712,1,1798.6487185183682,titre et borne,Alasora,243198.69
acces voiture,6377.54023768531,1,654.7037498255613,titre et borne,Ilafy,333133.91
acces voiture,4789.502865624059,1,1322.9840722692877,titre et borne,Ilafy,338250.58
acces voiture,17.11719945202549,1,980.6435148872672,titre et borne,Ambohidratrimo,381191.71
acces moto,6288.854657397757,0,277.03851141589746,titre et borne,Ambohidratrimo,213579.56
acces voiture,5623.063061489333,1,1259.4874253772823,titre et borne,Analakely,363715.0
acces moto,5814.73651158612,1,56.76816707215801,cadastre,Ilafy,227549.48
sans acces,1169.7542725390715,1,1950.143510769251,cadastre,Ambohidratrimo,188657.5
acces voiture,1756.830378775213,1,628.3061621612856,titre et borne,Alasora,387341.86
sans acces,8159.458559998711,1,1160.9277246982715,titre et borne,Ambohidratrimo,235511.97
acces moto,4881.334538430035,1,1226.6302972369135,fifanolorana,Tanjombato,153566.9
acces voiture,7044.502092117873,1,792.8760210367382,cadastre,Tanjombato,261770.34
acces voiture,5084.955128391383,1,1469.3550411802198,cadastre,Ambohidratrimo,237672.17
acces voiture,5089.268418487236,1,620.0770747019805,titre et borne,Ilafy,340362.97
acces voiture,7814.851417927994,1,1697.0378379657957,cadastre,Ilafy,212444.05
acces moto,3451.865815347878,1,76.78374419739885,cadastre,Ivato,188827.06
acces moto,5288.36233082295,1,1101.1036636371296,cadastre,Tanjombato,161817.22
acces moto,3613.174133884872,1,2551.143199246628,fifanolorana,Alasora,130171.22
acces voiture,3696.5113177030535,1,199.73494031554023,titre et borne,Ilafy,344523.8
acces voiture,4072.483629594082,1,457.8040235801189,titre et borne,Analakely,343306.71
acces voiture,5666.401314901139,1,1411.126279727132,cadastre,Tanjombato,248075.56
acces voiture,3563.754135009568,1,1143.6654255516785,fifanolorana,Alasora,203468.71
sans acces,8767.268376720562,1,1280.5040794188474,titre et borne,Alasora,229802.99
acces moto,2316.1780933414884,0,1391.3497041181308,titre et borne,Ilafy,234982.84
sans acces,4439.385067515923,1,1507.777174849416,titre et borne,Alasora,255693.25
acces voiture,3680.8068251774753,1,1887.7598735649783,titre et borne,Ilafy,365501.67
acces moto,9340.933653061198,1,1327.8549255428102,cadastre,Ambohidratrimo,161216.43
acces voiture,5589.664329534724,1,806.993876305166,cadastre,Tanjombato,268158.6
acces moto,8095.533618405905,1,1538.058960962185,titre et borne,Ivato,269537.79
sans acces,543.3188808890845,1,2519.9055479161725,titre et borne,Ambohidratrimo,254614.94
sans acces,5801.150797607776,1,893.8930028939411,titre et borne,Tanjombato,263978.21
acces voiture,7668.892386870311,0,220.3765562634868,titre et borne,Ilafy,246369.47
acces voiture,5246.851967826273,0,1885.6645354295783,cadastre,Tanjombato,185263.1
sans acces,3448.1346496988835,1,738.135636811229,fifanolorana,Ambohidratrimo,87106.35
sans acces,11896.694370857753,1,571.7374512368618,fifanolorana,Analakely,59139.33
acces voiture,3911.484318681023,1,927.5733741566714,cadastre,Tanjombato,281553.95
acces voiture,3663.4924357976847,1,1265.5842644552115,cadastre,Analakely,242533.18
sans acces,9360.153431353105,1,1152.3997438232532,titre et borne,Ilafy,226391.97
sans acces,9738.716437192135,1,1567.5614537112317,titre et borne,Alasora,194246.9
acces moto,3739.439548712429,1,1410.4846385408662,titre et borne,Alasora,275537.1
acces moto,4154.646173418479,1,792.3626579328662,titre et borne,Ambohidratrimo,301703.01
acces voiture,966.6484668971688,1,1591.0483847100024,titre et borne,Ivato,352831.1
acces voiture,2244.044160547405,1,1492.2939872104428,titre et borne,Alasora,323152.82
acces voiture,1987.5776997437963,1,251.6490383643237,cadastre,Analakely,269513.47
acces voiture,2696.6073046876145,1,1868.785692940026,titre et borne,Ilafy,349125.53
acces moto,4895.9453378396565,1,571.2292439087616,titre et borne,Ambohidratrimo,303024.05
sans acces,5702.644197609562,1,1646.446238624916,fifanolorana,Analakely,108362.33
acces voiture,9651.501478442233,1,1293.8298507210725,fifanolorana,Ambohidratrimo,197490.34
acces voiture,2004.9378777836275,1,2470.5469414360978,cadastre,Ivato,258232.15
acces moto,7952.967195429752,1,821.2272141025182,fifanolorana,Ilafy,126202.18
acces voiture,4358.033467323473,0,720.546563105442,cadastre,Tanjombato,149594.36
sans acces,4851.608871042701,0,984.464315289814,fifanolorana,Ilafy,18927.63
acces moto,7024.458476499811,1,757.4561737325796,titre et borne,Ivato,280527.25
sans acces,1631.833935313104,1,1639.95352155364,titre et borne,Ilafy,252461.69
acces moto,6147.229238552152,1,293.0484867492703,titre et borne,Tanjombato,295827.88
sans acces,5499.356624639168,1,157.05406468291676,titre et borne,Alasora,267761.26
sans acces,6477.353792024447,1,145.75766273664556,titre et borne,Ambohidratrimo,233879.6
sans acces,5867.505931723455,0,1760.2460735788604,cadastre,Tanjombato,40550.24
acces voiture,12365.900419732685,1,2368.4906980655405,cadastre,Analakely,192396.21
acces voiture,3086.780047246052,0,916.4406251700228,cadastre,Ivato,166173.26
acces voiture,3407.009134994547,1,864.9426214479915,titre et borne,Alasora,329696.73
acces voiture,3130.578420725707,1,1056.0417304905452,fifanolorana,Analakely,188837.8
acces moto,3333.568642519236,1,1929.5026420865524,cadastre,Analakely,165552.31
acces moto,3087.838618080447,1,258.1174926475408,titre et borne,Ivato,320106.39
acces voiture,8567.049593322656,1,1190.695186187828,cadastre,Alasora,250800.21
acces moto,9261.512743969564,1,1780.1581038259435,titre et borne,Analakely,239459.35
acces voiture,3287.7611187515718,1,1400.8753359518762,titre et borne,Analakely,357743.54
sans acces,2502.933280687314,1,1151.6652932789948,fifanolorana,Alasora,119071.43
acces voiture,6414.246669159213,1,1800.836874053713,titre et borne,Ilafy,307536.37
sans acces,3343.3308671570862,1,1162.5858343993896,titre et borne,Analakely,254072.17
acces voiture,6898.795453266533,1,1542.300255624726,fifanolorana,Ambohidratrimo,218085.76
acces voiture,5608.769062553899,1,476.7394534980609,cadastre,Alasora,257345.96
acces voiture,452.76765500830425,1,464.5063174851655,titre et borne,Analakely,369411.59
sans acces,9642.515603990185,1,1408.9620796199847,titre et borne,Ivato,209295.0
acces voiture,10387.633019286564,0,2098.926836130366,titre et borne,Tanjombato,196735.64
acces voiture,3161.633928546841,1,890.0411882978465,cadastre,Ambohidratrimo,262348.52
acces voiture,5857.596172174715,1,2289.8226063909165,titre et borne,Tanjombato,315610.64
acces voiture,6003.370369961075,1,2051.931562867238,fifanolorana,Analakely,150430.06
acces moto,6975.632818018492,1,2311.9716234971143,cadastre,Ambohidratrimo,152038.76
acces voiture,11030.613616299048,1,1593.7019928575137,titre et borne,Ambohidratrimo,322133.91
acces voiture,4469.158317517852,0,1060.3469111212742,cadastre,Ilafy,160623.24
acces voiture,2605.1082663846387,1,281.5726495177348,cadastre,Tanjombato,251851.71
sans acces,862.042315956418,1,803.1500094960411,titre et borne,Ambohidratrimo,267945.61
acces moto,2807.2098801742427,1,325.4027237470466,titre et borne,Ilafy,306155.43
acces voiture,4900.619081378609,1,2736.7541739982507,fifanolorana,Alasora,157303.51
acces voiture,10383.673590553364,1,859.2913500541307,titre et borne,Ilafy,316229.46
acces moto,3447.166102891486,1,1098.5638454275886,cadastre,Ivato,184319.52
acces voiture,5671.363854916695,1,1441.188300832374,titre et borne,Analakely,327617.73
sans acces,8565.179820344252,1,2356.0408323446027,titre et borne,Alasora,227732.56
acces moto,12580.797277620866,1,501.88051061243846,titre et borne,Ivato,242411.4
acces moto,3407.3936812390384,1,1155.685964189794,titre et borne,Ilafy,261481.99
acces voiture,3531.681672445334,1,406.02353144156143,titre et borne,Analakely,362245.82
sans acces,8132.482631207216,1,56.01800897656472,fifanolorana,Ilafy,99655.4
acces voiture,7045.674468878934,1,510.5847272757717,fifanolorana,Ambohidratrimo,177725.54
acces voiture,10540.1219772081,1,970.3705623612703,cadastre,Ilafy,209200.74
